Neighborhoods,Population,Median Home Value,Median Rent,Median Household Income,Diversity,Housing,Cost of Living,Weather,Commute,Crime and Safety,Walkable to Restaurants,Parking
Sorrento Valley,,,,,,,,,,2,NaN,NaN
Mission Valley East,31911,518367,2121,90192,8,4,2,8,7.4,4.6,7.9,4.8
Mission Valley West,31911,518367,2121,90192,8,4,2,8,7.4,4.6,4.8,5.8
Cortez Hill,,,,,,,,,,,8.9,4.7
Linda Vista,38659,493701,1782,66863,8,3,2,8,8,5,5.2,6.9
Sherman Heights,11064,,844,47900,7.4,5.4,NaN,NaN,NaN,,6.8,4.5
Chollas View,,,,,,,,,,6,6.6,3.6
Morena,,,,,,,,,,5.4,6.6,5.8
Del Mar Heights,,,,,,,,,,3.4,7.2,8.4
Rancho Peasquitos,60519,797946,2559,144186,8,5.4,2,8,6,6.6,4.5,8.8
Serra Mesa,32491,547197,2190,82307,8,3.4,2,8,6.6,6,4.7,6.3
Del Mar Mesa,21134,1115431,2682,153220,7.4,5.4,2,8,6.6,8,,
City Heights,75694,382078,1207,42071,8,2,2.6,8,7.4,5.4,,
Mira Mesa,87785,533150,2140,101381,8,4.6,2,8,7.4,5.4,6.6,7.3
Gaslamp Quarter,,,,,,,,,,,8.2,2.5
Valencia Park,,,,,,,,,,,5.3,6.3
Clairemont,89234,601041,1949,88347,8,3.4,2,8,7.4,4.5,7.6,8.5
Del Cerro,,,,,,,,,,,4.6,7.7
Logan Heights,,,,,,,,,,,7.9,3.6
Ronaldo Park,,,,,,,,,,,,
Islenair,,,,,,,,,,,,
Tierrasanta,35542,576392,2326,98759,8,4,2,8,6.6,6,5.7,8.3
